routename,distKM,time
Ceuta-Malaca,20202.88,177
Ceuta-São Tomé de Meliapor,18700.47,164
Ceuta-Negapatão,18898.96,165
Ceuta-Diu,18271.46,160
Ceuta-Mascate,18054.75,158
Ceuta-Macau,22622.42,197
Ceuta-Amboíno,21785.01,190
Ceuta-Socotra,16480.19,145
Ceuta-Bombaim,18259.14,160
Ceuta-Quiloa,14499,128
Ceuta-Porto,1048.96,12
Ceuta-Olinda,5963.09,54
Ceuta-São Jorge dos Ilhéus,6898.68,62
Ceuta-Natal - Capitania do Rio Grande,5803.84,53
Ceuta-Salvador,6783.96,61
Ceuta-Porto Seguro,7779.77,70
Ceuta-Rio de Janeiro,8018.57,72
Ceuta-Vila do Espírito Santo,7478.58,67
Tanger-Lisboa,523.51,7
Tanger-Monte Pascoal - BA,7524.63,68
Tanger-Cananor,17925.22,157
Tanger-Ilhas Canárias,1332.22,14
Tanger-Santiago - Cabo Verde,2946.85,28
Tanger-Baía de Santa Helena,9565.98,85
Tanger-Cabo da Boa esperança,9484.09,84
Tanger-Mossel Bay,9778.47,87
Tanger-Natal,11041.75,98
Tanger-Quelimane,12398.61,110
Tanger-Ilha de moçambique,12995.29,115
Tanger-Mombaça,14301.03,126
Tanger-Malindi,14404.69,127
Tanger-Goa,18459.7,162
Tanger-Calicute,17897.28,157
Tanger-Ceuta,213.61,5
Tanger-Arzila,39.68,3
Tanger-Alcácer-Quibir,85.76,4
Tanger-Cochin,17793.99,156
Tanger-Goa,18459.7,162
Tanger-Tidore,21694.6,189
Tanger-Sohar,18141.44,159
Tanger-Trincomalee,17948.58,157
Tanger-Malaca,19999.66,175
Tanger-São Tomé de Meliapor,18497.25,162
Tanger-Negapatão,18695.74,164
Tanger-Diu,18068.24,158
Tanger-Mascate,17851.53,156
Tanger-Macau,22419.2,196
Tanger-Amboíno,21581.79,188
Tanger-Socotra,16276.97,143
Tanger-Bombaim,18055.92,158
Tanger-Quiloa,14295.78,126
Tanger-Porto,845.74,10
Tanger-Olinda,5759.87,52
Tanger-São Jorge dos Ilhéus,6695.46,60
Tanger-Natal - Capitania do Rio Grande,5600.62,51
Tanger-Salvador,6580.74,59
Tanger-Porto Seguro,7576.55,68
Tanger-Rio de Janeiro,7815.35,70
Tanger-Vila do Espírito Santo,7275.36,65
Arzila-Lisboa,556.84,8
Arzila-Monte Pascoal - BA,7557.96,68
Arzila-Cananor,17958.55,157
Arzila-Ilhas Canárias,1365.55,15
Arzila-Santiago - Cabo Verde,2980.18,29
Arzila-Baía de Santa Helena,9599.31,85
Arzila-Cabo da Boa esperança,9517.42,85
Arzila-Mossel Bay,9811.8,87
Arzila-Natal,11075.08,98
Arzila-Quelimane,12431.94,110
Arzila-Ilha de moçambique,13028.62,115
Arzila-Mombaça,14334.35,126
Arzila-Malindi,14438.02,127
Arzila-Goa,18493.03,162
Arzila-Calicute,17930.6,157
Arzila-Ceuta,246.94,5
Arzila-Tanger,39.68,3
Arzila-Alcácer-Quibir,53.07,3
Arzila-Cochin,17827.31,156
Arzila-Goa,18493.03,162
Arzila-Tidore,21727.93,190
Arzila-Sohar,18174.77,159
Arzila-Trincomalee,17981.9,158
Arzila-Malaca,20032.99,175
Arzila-São Tomé de Meliapor,18530.58,162
Arzila-Negapatão,18729.06,164
Arzila-Diu,18101.57,159
Arzila-Mascate,17884.86,157
Arzila-Macau,22452.52,196
Arzila-Amboíno,21615.12,189
Arzila-Socotra,16310.3,143
Arzila-Bombaim,18089.25,158
Arzila-Quiloa,14329.11,126
Arzila-Porto,879.07,10
Arzila-Olinda,5793.2,53
Arzila-São Jorge dos Ilhéus,6728.79,61
Arzila-Natal - Capitania do Rio Grande,5633.95,51
Arzila-Salvador,6614.07,60
Arzila-Porto Seguro,7609.88,68
Arzila-Rio de Janeiro,7848.68,70
Arzila-Vila do Espírito Santo,7308.69,66
Alcácer-Quibir-Lisboa,605.08,8
Alcácer-Quibir-Monte Pascoal - BA,7606.21,68
Alcácer-Quibir-Cananor,18006.8,158
Alcácer-Quibir-Ilhas Canárias,1413.8,15
Alcácer-Quibir-Santiago - Cabo Verde,3028.43,29
Alcácer-Quibir-Baía de Santa Helena,9647.56,86
Alcácer-Quibir-Cabo da Boa esperança,9565.66,85
Alcácer-Quibir-Mossel Bay,9860.05,88
Alcácer-Quibir-Natal,11123.32,99
Alcácer-Quibir-Quelimane,12480.18,110
Alcácer-Quibir-Ilha de moçambique,13076.86,115
Alcácer-Quibir-Mombaça,14382.6,127
Alcácer-Quibir-Malindi,14486.26,127
Alcácer-Quibir-Goa,18541.28,162
Alcácer-Quibir-Calicute,17978.85,158
Alcácer-Quibir-Ceuta,295.19,5
Alcácer-Quibir-Tanger,85.76,4
Alcácer-Quibir-Arzila,53.07,3
Alcácer-Quibir-Cochin,17875.56,157
Alcácer-Quibir-Goa,18541.28,162
Alcácer-Quibir-Tidore,21776.18,190
Alcácer-Quibir-Sohar,18223.01,160
Alcácer-Quibir-Trincomalee,18030.15,158
Alcácer-Quibir-Malaca,20081.24,176
Alcácer-Quibir-São Tomé de Meliapor,18578.83,163
Alcácer-Quibir-Negapatão,18777.31,164
Alcácer-Quibir-Diu,18149.82,159
Alcácer-Quibir-Mascate,17933.11,157
Alcácer-Quibir-Macau,22500.77,196
Alcácer-Quibir-Amboíno,21663.36,189
Alcácer-Quibir-Socotra,16358.55,144
Alcácer-Quibir-Bombaim,18137.49,159
Alcácer-Quibir-Quiloa,14377.36,127
Alcácer-Quibir-Porto,927.31,11
Alcácer-Quibir-Olinda,5841.45,53
Alcácer-Quibir-São Jorge dos Ilhéus,6777.03,61
Alcácer-Quibir-Natal - Capitania do Rio Grande,5682.19,52
Alcácer-Quibir-Salvador,6662.31,60
Alcácer-Quibir-Porto Seguro,7658.13,69
Alcácer-Quibir-Rio de Janeiro,7896.93,71
Alcácer-Quibir-Vila do Espírito Santo,7356.94,66
Cochin-Lisboa,18013.09,158
Cochin-Monte Pascoal - BA,14628.94,129
Cochin-Cananor,234.96,5
Cochin-Ilhas Canárias,16721.3,147
Cochin-Santiago - Cabo Verde,15551.58,137
Cochin-Baía de Santa Helena,8711.45,78
Cochin-Cabo da Boa esperança,8629.55,77
Cochin-Mossel Bay,8923.94,80
Cochin-Natal,6942.35,63
Cochin-Quelimane,6687.8,60
Cochin-Ilha de moçambique,5007,46
Cochin-Mombaça,4602.35,42
Cochin-Malindi,4706.01,43
Cochin-Goa,1619.51,17
Cochin-Calicute,175.26,4
Cochin-Ceuta,17997.21,158
Cochin-Tanger,17793.99,156
Cochin-Arzila,17827.31,156
Cochin-Alcácer-Quibir,17875.56,157
Cochin-Goa,1619.51,17
Cochin-Tidore,7021.7,63
Cochin-Sohar,2837.09,27
Cochin-Trincomalee,1411.14,15
Cochin-Malaca,3668.92,34
Cochin-São Tomé de Meliapor,1959.82,20
Cochin-Negapatão,2158.31,21
Cochin-Diu,1613.01,17
Cochin-Mascate,2547.19,25
Cochin-Macau,6534.8,59
Cochin-Amboíno,6908.89,62
Cochin-Socotra,2658.84,26
Cochin-Bombaim,1215.72,13
Cochin-Quiloa,5115.32,47
Cochin-Porto,18250.74,160
Cochin-Olinda,14923.29,131
Cochin-São Jorge dos Ilhéus,14799.88,130
Cochin-Natal - Capitania do Rio Grande,14764.03,130
Cochin-Salvador,14685.16,129
Cochin-Porto Seguro,14680.86,129
Cochin-Rio de Janeiro,14436.92,127
Cochin-Vila do Espírito Santo,14379.67,127
Goa-Lisboa,18678.8,164
Goa-Monte Pascoal - BA,15294.66,134
Goa-Cananor,407.48,6
Goa-Ilhas Canárias,17387.01,152
Goa-Santiago - Cabo Verde,16217.3,142
Goa-Baía de Santa Helena,9377.17,84
Goa-Cabo da Boa esperança,9295.27,83
Goa-Mossel Bay,9589.65,85
Goa-Natal,7608.06,68
Goa-Quelimane,7353.52,66
Goa-Ilha de moçambique,5672.71,52
Goa-Mombaça,4983.35,46
Goa-Malindi,5087.01,47
Goa-Goa,0,3
Goa-Calicute,470.89,7
Goa-Ceuta,18662.92,163
Goa-Tanger,18459.7,162
Goa-Arzila,18493.03,162
Goa-Alcácer-Quibir,18541.28,162
Goa-Cochin,1619.51,17
Goa-Tidore,8424.01,75
Goa-Sohar,2338.57,23
Goa-Trincomalee,2813.46,27
Goa-Malaca,5071.24,47
Goa-São Tomé de Meliapor,3362.13,32
Goa-Negapatão,3560.62,34
Goa-Diu,859.65,10
Goa-Mascate,2048.66,21
Goa-Macau,7937.11,71
Goa-Amboíno,8311.2,74
Goa-Socotra,2758.03,27
Goa-Bombaim,433.11,7
Goa-Quiloa,5496.33,50
Goa-Porto,18916.45,166
Goa-Olinda,15589,137
Goa-São Jorge dos Ilhéus,15465.6,136
Goa-Natal - Capitania do Rio Grande,15429.75,136
Goa-Salvador,15350.87,135
Goa-Porto Seguro,15346.57,135
Goa-Rio de Janeiro,15102.64,133
Goa-Vila do Espírito Santo,15045.38,132
Tidore-Lisboa,21913.7,191
Tidore-Monte Pascoal - BA,18529.56,162
Tidore-Cananor,7152.94,64
Tidore-Ilhas Canárias,20621.91,180
Tidore-Santiago - Cabo Verde,19452.2,170
Tidore-Baía de Santa Helena,12612.07,111
Tidore-Cabo da Boa esperança,12530.17,111
Tidore-Mossel Bay,12824.55,113
Tidore-Natal,11158.04,99
Tidore-Quelimane,11455.5,101
Tidore-Ilha de moçambique,10293.82,91
Tidore-Mombaça,10524.91,93
Tidore-Malindi,10628.57,94
Tidore-Goa,8424.01,75
Tidore-Calicute,7124.99,64
Tidore-Ceuta,21897.82,191
Tidore-Tanger,21694.6,189
Tidore-Arzila,21727.93,190
Tidore-Alcácer-Quibir,21776.18,190
Tidore-Cochin,7021.7,63
Tidore-Goa,8424.01,75
Tidore-Sohar,9641.6,86
Tidore-Trincomalee,6281.15,57
Tidore-Malaca,3484.34,33
Tidore-São Tomé de Meliapor,6268.39,57
Tidore-Negapatão,6466.87,59
Tidore-Diu,8417.51,75
Tidore-Mascate,9351.69,83
Tidore-Macau,3829.74,36
Tidore-Amboíno,542.09,8
Tidore-Socotra,9289.51,83
Tidore-Bombaim,8020.23,72
Tidore-Quiloa,10601.42,94
Tidore-Porto,22151.35,193
Tidore-Olinda,18823.9,165
Tidore-São Jorge dos Ilhéus,18700.5,164
Tidore-Natal - Capitania do Rio Grande,18664.65,163
Tidore-Salvador,18585.78,163
Tidore-Porto Seguro,18581.48,163
Tidore-Rio de Janeiro,18337.54,161
Tidore-Vila do Espírito Santo,18280.29,160
Sohar-Lisboa,18360.54,161
Sohar-Monte Pascoal - BA,14976.39,132
Sohar-Cananor,2968.33,28
Sohar-Ilhas Canárias,17068.75,150
Sohar-Santiago - Cabo Verde,15899.03,140
Sohar-Baía de Santa Helena,9058.9,81
Sohar-Cabo da Boa esperança,8977.01,80
Sohar-Mossel Bay,9271.39,83
Sohar-Natal,7289.8,66
Sohar-Quelimane,7035.26,63
Sohar-Ilha de moçambique,5354.45,49
Sohar-Mombaça,4389.28,41
Sohar-Malindi,4492.94,42
Sohar-Goa,2338.57,23
Sohar-Calicute,2940.38,28
Sohar-Ceuta,18344.66,161
Sohar-Tanger,18141.44,159
Sohar-Arzila,18174.77,159
Sohar-Alcácer-Quibir,18223.01,160
Sohar-Cochin,2837.09,27
Sohar-Goa,2338.57,23
Sohar-Tidore,9641.6,86
Sohar-Trincomalee,4031.04,38
Sohar-Malaca,6288.82,57
Sohar-São Tomé de Meliapor,4579.72,42
Sohar-Negapatão,4778.2,44
Sohar-Diu,1752.66,18
Sohar-Mascate,443.66,7
Sohar-Macau,9154.7,82
Sohar-Amboíno,9528.79,85
Sohar-Socotra,2030.67,20
Sohar-Bombaim,1934.79,20
Sohar-Quiloa,4902.25,45
Sohar-Porto,18598.19,163
Sohar-Olinda,15270.74,134
Sohar-São Jorge dos Ilhéus,15147.34,133
Sohar-Natal - Capitania do Rio Grande,15111.48,133
Sohar-Salvador,15032.61,132
Sohar-Porto Seguro,15028.31,132
Sohar-Rio de Janeiro,14784.38,130
Sohar-Vila do Espírito Santo,14727.12,130
Trincomalee-Lisboa,18167.68,159
Trincomalee-Monte Pascoal - BA,14783.53,130
Trincomalee-Cananor,1542.38,16
Trincomalee-Ilhas Canárias,16875.89,148
Trincomalee-Santiago - Cabo Verde,15706.17,138
Trincomalee-Baía de Santa Helena,8866.04,79
Trincomalee-Cabo da Boa esperança,8784.14,78
Trincomalee-Mossel Bay,9078.53,81
Trincomalee-Natal,7223.23,65
Trincomalee-Quelimane,7404.01,67
Trincomalee-Ilha de moçambique,5755.87,52
Trincomalee-Mombaça,5384.17,49
Trincomalee-Malindi,5487.83,50
Trincomalee-Goa,2813.46,27
Trincomalee-Calicute,1514.43,16
Trincomalee-Ceuta,18151.8,159
Trincomalee-Tanger,17948.58,157
Trincomalee-Arzila,17981.9,158
Trincomalee-Alcácer-Quibir,18030.15,158
Trincomalee-Cochin,1411.14,15
Trincomalee-Goa,2813.46,27
Trincomalee-Tidore,6281.15,57
Trincomalee-Sohar,4031.04,38
Trincomalee-Malaca,2928.38,28
Trincomalee-São Tomé de Meliapor,910.81,11
Trincomalee-Negapatão,289.21,5
Trincomalee-Diu,2806.95,27
Trincomalee-Mascate,3741.14,35
Trincomalee-Macau,5794.25,53
Trincomalee-Amboíno,6168.34,56
Trincomalee-Socotra,3678.95,35
Trincomalee-Bombaim,2409.67,24
Trincomalee-Quiloa,5897.14,54
Trincomalee-Porto,18405.32,161
Trincomalee-Olinda,15077.88,133
Trincomalee-São Jorge dos Ilhéus,14954.47,132
Trincomalee-Natal - Capitania do Rio Grande,14918.62,131
Trincomalee-Salvador,14839.75,131
Trincomalee-Porto Seguro,14835.45,130
Trincomalee-Rio de Janeiro,14591.51,128
Trincomalee-Vila do Espírito Santo,14534.26,128
Malaca-Lisboa,20218.77,177
Malaca-Monte Pascoal - BA,16834.62,148
Malaca-Cananor,3800.16,36
Malaca-Ilhas Canárias,18926.97,166
Malaca-Santiago - Cabo Verde,17757.26,156
Malaca-Baía de Santa Helena,10917.13,97
Malaca-Cabo da Boa esperança,10835.23,96
Malaca-Mossel Bay,11129.61,99
Malaca-Natal,9369.33,83
Malaca-Quelimane,9611.57,86
Malaca-Ilha de moçambique,8013.65,72
Malaca-Mombaça,7641.94,69
Malaca-Malindi,7745.61,70
Malaca-Goa,5071.24,47
Malaca-Calicute,3772.21,35
Malaca-Ceuta,20202.88,177
Malaca-Tanger,19999.66,175
Malaca-Arzila,20032.99,175
Malaca-Alcácer-Quibir,20081.24,176
Malaca-Cochin,3668.92,34
Malaca-Goa,5071.24,47
Malaca-Tidore,3484.34,33
Malaca-Sohar,6288.82,57
Malaca-Trincomalee,2928.38,28
Malaca-São Tomé de Meliapor,2915.61,28
Malaca-Negapatão,3114.09,30
Malaca-Diu,5064.73,46
Malaca-Mascate,5998.92,54
Malaca-Macau,2997.44,29
Malaca-Amboíno,3371.53,32
Malaca-Socotra,5936.73,54
Malaca-Bombaim,4667.45,43
Malaca-Quiloa,8154.92,73
Malaca-Porto,20456.41,179
Malaca-Olinda,17128.96,150
Malaca-São Jorge dos Ilhéus,17005.56,149
Malaca-Natal - Capitania do Rio Grande,16969.71,149
Malaca-Salvador,16890.84,148
Malaca-Porto Seguro,16886.54,148
Malaca-Rio de Janeiro,16642.6,146
Malaca-Vila do Espírito Santo,16585.35,146
São Tomé de Meliapor-Lisboa,18716.35,164
São Tomé de Meliapor-Monte Pascoal - BA,15332.21,135
São Tomé de Meliapor-Cananor,2091.06,21
São Tomé de Meliapor-Ilhas Canárias,17424.56,153
São Tomé de Meliapor-Santiago - Cabo Verde,16254.85,143
São Tomé de Meliapor-Baía de Santa Helena,9414.72,84
São Tomé de Meliapor-Cabo da Boa esperança,9332.82,83
São Tomé de Meliapor-Mossel Bay,9627.2,86
São Tomé de Meliapor-Natal,7771.9,70
São Tomé de Meliapor-Quelimane,7952.68,71
São Tomé de Meliapor-Ilha de moçambique,6304.55,57
São Tomé de Meliapor-Mombaça,5932.84,54
São Tomé de Meliapor-Malindi,6036.51,55
São Tomé de Meliapor-Goa,3362.13,32
São Tomé de Meliapor-Calicute,2063.11,21
São Tomé de Meliapor-Ceuta,18700.47,164
São Tomé de Meliapor-Tanger,18497.25,162
São Tomé de Meliapor-Arzila,18530.58,162
São Tomé de Meliapor-Alcácer-Quibir,18578.83,163
São Tomé de Meliapor-Cochin,1959.82,20
São Tomé de Meliapor-Goa,3362.13,32
São Tomé de Meliapor-Tidore,6268.39,57
São Tomé de Meliapor-Sohar,4579.72,42
São Tomé de Meliapor-Trincomalee,910.81,11
São Tomé de Meliapor-Malaca,2915.61,28
São Tomé de Meliapor-Negapatão,254.92,5
São Tomé de Meliapor-Diu,3355.63,32
São Tomé de Meliapor-Mascate,4289.81,40
São Tomé de Meliapor-Macau,5781.49,53
São Tomé de Meliapor-Amboíno,6155.57,56
São Tomé de Meliapor-Socotra,4227.63,39
São Tomé de Meliapor-Bombaim,2958.35,28
São Tomé de Meliapor-Quiloa,6445.82,58
São Tomé de Meliapor-Porto,18954,166
São Tomé de Meliapor-Olinda,15626.55,137
São Tomé de Meliapor-São Jorge dos Ilhéus,15503.15,136
São Tomé de Meliapor-Natal - Capitania do Rio Grande,15467.3,136
São Tomé de Meliapor-Salvador,15388.42,135
São Tomé de Meliapor-Porto Seguro,15384.13,135
São Tomé de Meliapor-Rio de Janeiro,15140.19,133
São Tomé de Meliapor-Vila do Espírito Santo,15082.93,133
Negapatão-Lisboa,18914.84,166
Negapatão-Monte Pascoal - BA,15530.69,136
Negapatão-Cananor,504.67,7
Negapatão-Ilhas Canárias,17623.05,154
Negapatão-Santiago - Cabo Verde,16453.33,144
Negapatão-Baía de Santa Helena,9613.2,86
Negapatão-Cabo da Boa esperança,9531.3,85
Negapatão-Mossel Bay,9825.69,87
Negapatão-Natal,7970.39,71
Negapatão-Quelimane,8151.17,73
Negapatão-Ilha de moçambique,6503.03,59
Negapatão-Mombaça,6131.33,56
Negapatão-Malindi,6234.99,57
Negapatão-Goa,3560.62,34
Negapatão-Calicute,430.96,7
Negapatão-Ceuta,18898.96,165
Negapatão-Tanger,18695.74,164
Negapatão-Arzila,18729.06,164
Negapatão-Alcácer-Quibir,18777.31,164
Negapatão-Cochin,2158.31,21
Negapatão-Goa,3560.62,34
Negapatão-Tidore,6466.87,59
Negapatão-Sohar,4778.2,44
Negapatão-Trincomalee,289.21,5
Negapatão-Malaca,3114.09,30
Negapatão-São Tomé de Meliapor,254.92,5
Negapatão-Diu,3554.12,33
Negapatão-Mascate,4488.3,41
Negapatão-Macau,5979.97,54
Negapatão-Amboíno,6354.06,58
Negapatão-Socotra,4426.12,41
Negapatão-Bombaim,3156.83,30
Negapatão-Quiloa,6644.3,60
Negapatão-Porto,19152.49,168
Negapatão-Olinda,15825.04,139
Negapatão-São Jorge dos Ilhéus,15701.63,138
Negapatão-Natal - Capitania do Rio Grande,15665.78,138
Negapatão-Salvador,15586.91,137
Negapatão-Porto Seguro,15582.61,137
Negapatão-Rio de Janeiro,15338.67,135
Negapatão-Vila do Espírito Santo,15281.42,134
Diu-Lisboa,18287.34,160
Diu-Monte Pascoal - BA,14903.2,131
Diu-Cananor,1744.24,18
Diu-Ilhas Canárias,16995.55,149
Diu-Santiago - Cabo Verde,15825.84,139
Diu-Baía de Santa Helena,8985.71,80
Diu-Cabo da Boa esperança,8903.81,79
Diu-Mossel Bay,9198.19,82
Diu-Natal,7216.6,65
Diu-Quelimane,6962.06,63
Diu-Ilha de moçambique,5281.25,48
Diu-Mombaça,4491.67,42
Diu-Malindi,4595.34,42
Diu-Goa,859.65,10
Diu-Calicute,1716.3,18
Diu-Ceuta,18271.46,160
Diu-Tanger,18068.24,158
Diu-Arzila,18101.57,159
Diu-Alcácer-Quibir,18149.82,159
Diu-Cochin,1613.01,17
Diu-Goa,859.65,10
Diu-Tidore,8417.51,75
Diu-Sohar,1752.66,18
Diu-Trincomalee,2806.95,27
Diu-Malaca,5064.73,46
Diu-São Tomé de Meliapor,3355.63,32
Diu-Negapatão,3554.12,33
Diu-Mascate,1462.76,15
Diu-Macau,7930.61,71
Diu-Amboíno,8304.7,74
Diu-Socotra,2258.61,22
Diu-Bombaim,455.87,7
Diu-Quiloa,5004.65,46
Diu-Porto,18524.99,162
Diu-Olinda,15197.54,134
Diu-São Jorge dos Ilhéus,15074.14,133
Diu-Natal - Capitania do Rio Grande,15038.29,132
Diu-Salvador,14959.42,132
Diu-Porto Seguro,14955.12,132
Diu-Rio de Janeiro,14711.18,129
Diu-Vila do Espírito Santo,14653.92,129
Mascate-Lisboa,18070.64,158
Mascate-Monte Pascoal - BA,14686.49,129
Mascate-Cananor,2678.43,26
Mascate-Ilhas Canárias,16778.84,147
Mascate-Santiago - Cabo Verde,15609.13,137
Mascate-Baía de Santa Helena,8769,78
Mascate-Cabo da Boa esperança,8687.1,78
Mascate-Mossel Bay,8981.48,80
Mascate-Natal,6999.89,63
Mascate-Quelimane,6745.35,61
Mascate-Ilha de moçambique,5064.54,46
Mascate-Mombaça,4099.37,38
Mascate-Malindi,4203.04,39
Mascate-Goa,2048.66,21
Mascate-Calicute,2650.48,26
Mascate-Ceuta,18054.75,158
Mascate-Tanger,17851.53,156
Mascate-Arzila,17884.86,157
Mascate-Alcácer-Quibir,17933.11,157
Mascate-Cochin,2547.19,25
Mascate-Goa,2048.66,21
Mascate-Tidore,9351.69,83
Mascate-Sohar,443.66,7
Mascate-Trincomalee,3741.14,35
Mascate-Malaca,5998.92,54
Mascate-São Tomé de Meliapor,4289.81,40
Mascate-Negapatão,4488.3,41
Mascate-Diu,1462.76,15
Mascate-Macau,8864.79,79
Mascate-Amboíno,9238.88,82
Mascate-Socotra,1740.77,18
Mascate-Bombaim,1644.88,17
Mascate-Quiloa,4612.35,43
Mascate-Porto,18308.28,160
Mascate-Olinda,14980.83,132
Mascate-São Jorge dos Ilhéus,14857.43,131
Mascate-Natal - Capitania do Rio Grande,14821.58,130
Mascate-Salvador,14742.71,130
Mascate-Porto Seguro,14738.41,130
Mascate-Rio de Janeiro,14494.47,128
Mascate-Vila do Espírito Santo,14437.22,127
Macau-Lisboa,22638.3,198
Macau-Monte Pascoal - BA,19254.15,168
Macau-Cananor,6666.04,60
Macau-Ilhas Canárias,21346.51,186
Macau-Santiago - Cabo Verde,20176.79,176
Macau-Baía de Santa Helena,13336.66,118
Macau-Cabo da Boa esperança,13254.76,117
Macau-Mossel Bay,13549.15,119
Macau-Natal,11788.86,104
Macau-Quelimane,12086.33,107
Macau-Ilha de moçambique,10879.53,96
Macau-Mombaça,10507.82,93
Macau-Malindi,10611.49,94
Macau-Goa,7937.11,71
Macau-Calicute,6638.09,60
Macau-Ceuta,22622.42,197
Macau-Tanger,22419.2,196
Macau-Arzila,22452.52,196
Macau-Alcácer-Quibir,22500.77,196
Macau-Cochin,6534.8,59
Macau-Goa,7937.11,71
Macau-Tidore,3829.74,36
Macau-Sohar,9154.7,82
Macau-Trincomalee,5794.25,53
Macau-Malaca,2997.44,29
Macau-São Tomé de Meliapor,5781.49,53
Macau-Negapatão,5979.97,54
Macau-Diu,7930.61,71
Macau-Mascate,8864.79,79
Macau-Amboíno,3969.75,37
Macau-Socotra,8802.61,79
Macau-Bombaim,7533.33,68
Macau-Quiloa,11020.8,98
Macau-Porto,22875.94,200
Macau-Olinda,19548.5,171
Macau-São Jorge dos Ilhéus,19425.09,170
Macau-Natal - Capitania do Rio Grande,19389.24,170
Macau-Salvador,19310.37,169
Macau-Porto Seguro,19306.07,169
Macau-Rio de Janeiro,19062.13,167
Macau-Vila do Espírito Santo,19004.88,166
Amboíno-Lisboa,21800.89,190
Amboíno-Monte Pascoal - BA,18416.75,161
Amboíno-Cananor,7040.13,63
Amboíno-Ilhas Canárias,20509.1,179
Amboíno-Santiago - Cabo Verde,19339.39,169
Amboíno-Baía de Santa Helena,12499.25,110
Amboíno-Cabo da Boa esperança,12417.36,110
Amboíno-Mossel Bay,12711.74,112
Amboíno-Natal,11045.22,98
Amboíno-Quelimane,11342.69,100
Amboíno-Ilha de moçambique,10181,90
Amboíno-Mombaça,10412.1,92
Amboíno-Malindi,10515.76,93
Amboíno-Goa,8311.2,74
Amboíno-Calicute,7012.18,63
Amboíno-Ceuta,21785.01,190
Amboíno-Tanger,21581.79,188
Amboíno-Arzila,21615.12,189
Amboíno-Alcácer-Quibir,21663.36,189
Amboíno-Cochin,6908.89,62
Amboíno-Goa,8311.2,74
Amboíno-Tidore,542.09,8
Amboíno-Sohar,9528.79,85
Amboíno-Trincomalee,6168.34,56
Amboíno-Malaca,3371.53,32
Amboíno-São Tomé de Meliapor,6155.57,56
Amboíno-Negapatão,6354.06,58
Amboíno-Diu,8304.7,74
Amboíno-Mascate,9238.88,82
Amboíno-Macau,3969.75,37
Amboíno-Socotra,9176.7,82
Amboíno-Bombaim,7907.42,71
Amboíno-Quiloa,10488.61,93
Amboíno-Porto,22038.54,192
Amboíno-Olinda,18711.09,164
Amboíno-São Jorge dos Ilhéus,18587.69,163
Amboíno-Natal - Capitania do Rio Grande,18551.84,162
Amboíno-Salvador,18472.96,162
Amboíno-Porto Seguro,18468.66,162
Amboíno-Rio de Janeiro,18224.73,160
Amboíno-Vila do Espírito Santo,18167.47,159
Socotra-Lisboa,16496.08,145
Socotra-Monte Pascoal - BA,13111.93,116
Socotra-Cananor,2790.08,27
Socotra-Ilhas Canárias,15204.28,134
Socotra-Santiago - Cabo Verde,14034.57,124
Socotra-Baía de Santa Helena,7194.44,65
Socotra-Cabo da Boa esperança,7112.54,64
Socotra-Mossel Bay,7406.92,67
Socotra-Natal,5425.33,50
Socotra-Quelimane,5170.79,47
Socotra-Ilha de moçambique,3489.99,33
Socotra-Mombaça,2524.81,25
Socotra-Malindi,2628.48,25
Socotra-Goa,2758.03,27
Socotra-Calicute,2762.13,27
Socotra-Ceuta,16480.19,145
Socotra-Tanger,16276.97,143
Socotra-Arzila,16310.3,143
Socotra-Alcácer-Quibir,16358.55,144
Socotra-Cochin,2658.84,26
Socotra-Goa,2758.03,27
Socotra-Tidore,9289.51,83
Socotra-Sohar,2030.67,20
Socotra-Trincomalee,3678.95,35
Socotra-Malaca,5936.73,54
Socotra-São Tomé de Meliapor,4227.63,39
Socotra-Negapatão,4426.12,41
Socotra-Diu,2258.61,22
Socotra-Mascate,1740.77,18
Socotra-Macau,8802.61,79
Socotra-Amboíno,9176.7,82
Socotra-Bombaim,2354.25,23
Socotra-Quiloa,3037.79,29
Socotra-Porto,16733.72,147
Socotra-Olinda,13406.27,118
Socotra-São Jorge dos Ilhéus,13282.87,117
Socotra-Natal - Capitania do Rio Grande,13247.02,117
Socotra-Salvador,13168.15,116
Socotra-Porto Seguro,13163.85,116
Socotra-Rio de Janeiro,12919.91,114
Socotra-Vila do Espírito Santo,12862.66,114
Bombaim-Lisboa,18275.02,160
Bombaim-Monte Pascoal - BA,14890.87,131
Bombaim-Cananor,1346.96,14
Bombaim-Ilhas Canárias,16983.23,149
Bombaim-Santiago - Cabo Verde,15813.51,139
Bombaim-Baía de Santa Helena,8973.38,80
Bombaim-Cabo da Boa esperança,8891.49,79
Bombaim-Mossel Bay,9185.87,82
Bombaim-Natal,7204.28,65
Bombaim-Quelimane,6949.74,63
Bombaim-Ilha de moçambique,5268.93,48
Bombaim-Mombaça,4579.57,42
Bombaim-Malindi,4683.23,43
Bombaim-Goa,433.11,7
Bombaim-Calicute,1319.01,14
Bombaim-Ceuta,18259.14,160
Bombaim-Tanger,18055.92,158
Bombaim-Arzila,18089.25,158
Bombaim-Alcácer-Quibir,18137.49,159
Bombaim-Cochin,1215.72,13
Bombaim-Goa,433.11,7
Bombaim-Tidore,8020.23,72
Bombaim-Sohar,1934.79,20
